id;date;details;status;payment_method;payment_date;payment_amount
1;2023-01-27T06:08:27;RAM systemic;PAID;CASH_ON_DELIVERY;2023-01-27T10:34:22;5801
2;2023-01-27T00:22:38;Bourgogne calculating model;ISSUED;CREDIT_CARD;2023-01-27T02:37:35;75071
3;2023-01-26T23:08:36;program SQL;CANCELLED;CREDIT_CARD;2023-01-26T21:48:00;79944
4;2023-01-27T10:02:43;Soft b;PAID;CASH_ON_DELIVERY;2023-01-27T07:18:24;8068
5;2023-01-27T14:09:35;Bhutanese;CANCELLED;PAYPAL;2023-01-27T15:59:08;87472
6;2023-01-27T02:46:03;Specialiste Shirt Boétie;CANCELLED;PAYPAL;2023-01-27T18:30:30;62834
7;2023-01-27T14:18:25;program transmitting parse;PAID;CREDIT_CARD;2023-01-27T05:18:43;38509
8;2023-01-27T05:00:01;a iterate;PAID;CREDIT_CARD;2023-01-27T01:16:49;6085
9;2023-01-26T21:53:44;black Corse;PAID;CREDIT_CARD;2023-01-27T00:35:49;11254
10;2023-01-27T11:09:05;a Zadkine;CANCELLED;PAYPAL;2023-01-27T00:26:13;85804
