id;placed_date;status;invoice_id;code
1;2023-01-10T06:54:11;COMPLETED;11446;lavender
2;2023-01-10T10:32:11;CANCELLED;64871;e-enable one-to-one
3;2023-01-09T17:34:31;COMPLETED;91159;background out-of-the-box withdrawal
4;2023-01-09T15:48:04;COMPLETED;47588;Concrete
5;2023-01-09T20:50:30;CANCELLED;63689;Car hybrid Generic
6;2023-01-09T20:04:38;CANCELLED;37922;harness Hongrie Ukraine
7;2023-01-10T05:12:03;COMPLETED;15762;Visionary
8;2023-01-09T17:58:48;CANCELLED;1365;Credit Soft Cotton
9;2023-01-10T09:33:21;CANCELLED;52097;Implemented
10;2023-01-10T07:49:00;COMPLETED;61775;solution protocol
